,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.0,9781.0,1435.0,9124.0,1397.0,9124.0,9856.0,1457.0,3993.0,9328.0,10421.0,3133.0,4205.0,9168.0,598.0,10421.0,2141.0,9124.0,4459.0,9033.0,9707.0,9124.0,2141.0,4202.0,9169.0,9124.0,3319.0
1,6422.0,0.0,2651.0,1270.0,2612.0,1270.0,884.0,2672.0,5193.0,453.0,640.0,4334.0,5406.0,1314.0,1799.0,640.0,3341.0,1270.0,5659.0,1179.0,2115.0,1270.0,3341.0,5402.0,3917.0,1270.0,4519.0
2,10897.0,9016.0,0.0,8359.0,616.0,8359.0,9092.0,226.0,3228.0,8563.0,7225.0,2343.0,2384.0,8403.0,8888.0,7225.0,1376.0,8359.0,2637.0,8269.0,8942.0,8359.0,1376.0,2380.0,8404.0,8359.0,1497.0
3,5150.0,1270.0,1378.0,0.0,1340.0,0.0,1251.0,1400.0,3919.0,817.0,1910.0,3059.0,4131.0,305.0,524.0,1910.0,2067.0,0.0,4385.0,428.0,843.0,0.0,2067.0,4128.0,2658.0,0.0,3245.0
4,10348.0,8467.0,301.0,7810.0,0.0,7810.0,8543.0,75.0,2679.0,8014.0,9107.0,1794.0,2866.0,7854.0,8339.0,9107.0,827.0,7810.0,3119.0,7720.0,8393.0,7810.0,827.0,2862.0,7855.0,7810.0,1979.0
5,5150.0,1270.0,1378.0,0.0,1340.0,0.0,1251.0,1400.0,3919.0,817.0,1910.0,3059.0,4131.0,305.0,524.0,1910.0,2067.0,0.0,4385.0,428.0,843.0,0.0,2067.0,4128.0,2658.0,0.0,3245.0
6,6404.0,884.0,2632.0,1251.0,2594.0,1251.0,0.0,2654.0,5175.0,943.0,1524.0,4315.0,5387.0,1021.0,1780.0,1524.0,3323.0,1251.0,5641.0,819.0,2097.0,1251.0,3323.0,5384.0,3899.0,1251.0,4501.0
7,10356.0,8475.0,226.0,7818.0,75.0,7818.0,8551.0,0.0,2687.0,8022.0,9115.0,1802.0,2400.0,7862.0,8347.0,9115.0,835.0,7818.0,2654.0,7728.0,8401.0,7818.0,835.0,2396.0,7863.0,7818.0,1514.0
8,9540.0,7660.0,4346.0,7003.0,4437.0,7003.0,7735.0,4362.0,0.0,7207.0,8300.0,3300.0,4061.0,7047.0,7531.0,8300.0,4156.0,7003.0,4314.0,6912.0,7586.0,7003.0,4156.0,4057.0,7048.0,7003.0,3141.0
9,5970.0,453.0,2198.0,817.0,2159.0,817.0,1550.0,2220.0,4740.0,0.0,1093.0,3881.0,4953.0,861.0,1346.0,1093.0,2889.0,817.0,5206.0,727.0,1662.0,817.0,2889.0,4949.0,3464.0,817.0,4067.0
10,7063.0,640.0,3291.0,1910.0,3252.0,1910.0,1524.0,3312.0,5833.0,1093.0,0.0,4974.0,6046.0,1954.0,2439.0,0.0,3981.0,1910.0,6299.0,1819.0,2755.0,1910.0,3981.0,6042.0,4557.0,1910.0,5160.0
11,6262.0,2343.0,2491.0,1110.0,2452.0,1110.0,1210.0,2512.0,5058.0,1890.0,2983.0,0.0,5271.0,1133.0,1664.0,2983.0,3207.0,1110.0,5525.0,1082.0,1955.0,1110.0,3207.0,5267.0,3757.0,1110.0,4385.0
12,6534.0,6971.0,2624.0,5699.0,2715.0,5699.0,6953.0,2640.0,4266.0,6519.0,7611.0,6016.0,0.0,6007.0,6217.0,7611.0,5071.0,5699.0,495.0,6130.0,5663.0,5699.0,5071.0,349.0,5559.0,5699.0,1419.0
13,5458.0,1314.0,1686.0,305.0,1648.0,305.0,1021.0,1708.0,4229.0,861.0,1954.0,3369.0,4441.0,0.0,834.0,1954.0,2377.0,305.0,4695.0,206.0,1151.0,305.0,2377.0,4438.0,2953.0,305.0,3555.0
14,11063.0,9183.0,837.0,8525.0,798.0,8525.0,9258.0,859.0,3395.0,8730.0,9823.0,2535.0,3607.0,8569.0,0.0,9823.0,1543.0,8525.0,3861.0,8435.0,9109.0,8525.0,1543.0,3604.0,8571.0,8525.0,2721.0
15,7063.0,640.0,3291.0,1910.0,3252.0,1910.0,1524.0,3312.0,5833.0,1093.0,0.0,4974.0,6046.0,1954.0,2439.0,0.0,3981.0,1910.0,6299.0,1819.0,2755.0,1910.0,3981.0,6042.0,4557.0,1910.0,5160.0
16,9520.0,7640.0,1117.0,6983.0,1209.0,6983.0,7715.0,1134.0,1852.0,7187.0,8280.0,3280.0,2074.0,7026.0,7511.0,8280.0,0.0,6983.0,2328.0,6892.0,7566.0,6983.0,0.0,2070.0,7028.0,6983.0,1188.0
17,5150.0,1270.0,1378.0,0.0,1340.0,0.0,1251.0,1400.0,3919.0,817.0,1910.0,3059.0,4131.0,305.0,524.0,1910.0,2067.0,0.0,4385.0,428.0,843.0,0.0,2067.0,4128.0,2658.0,0.0,3245.0
18,6039.0,6477.0,2644.0,5204.0,2736.0,5204.0,6458.0,2661.0,4286.0,6024.0,7117.0,6037.0,541.0,5512.0,5722.0,7117.0,5092.0,5204.0,0.0,5635.0,5168.0,5204.0,5092.0,537.0,5064.0,5204.0,1440.0
19,5581.0,1179.0,1809.0,428.0,1771.0,428.0,819.0,1831.0,4352.0,727.0,1819.0,3492.0,4564.0,198.0,957.0,1819.0,2500.0,428.0,4818.0,0.0,1274.0,428.0,2500.0,4561.0,3076.0,428.0,3678.0
20,5759.0,1881.0,1953.0,609.0,1915.0,609.0,1863.0,1975.0,4521.0,1429.0,2521.0,3662.0,4734.0,917.0,1127.0,2521.0,2669.0,609.0,5080.0,1040.0,0.0,609.0,2669.0,4730.0,2733.0,609.0,3847.0
21,5150.0,1270.0,1378.0,0.0,1340.0,0.0,1251.0,1400.0,3919.0,817.0,1910.0,3059.0,4131.0,305.0,524.0,1910.0,2067.0,0.0,4385.0,428.0,843.0,0.0,2067.0,4128.0,2658.0,0.0,3245.0
22,9520.0,7640.0,1117.0,6983.0,1209.0,6983.0,7715.0,1134.0,1852.0,7187.0,8280.0,3280.0,2074.0,7026.0,7511.0,8280.0,0.0,6983.0,2328.0,6892.0,7566.0,6983.0,0.0,2070.0,7028.0,6983.0,1188.0
23,6403.0,6840.0,2421.0,5568.0,2513.0,5568.0,6822.0,2438.0,4063.0,6388.0,7480.0,5814.0,349.0,5876.0,6086.0,7480.0,4869.0,5568.0,364.0,5999.0,5532.0,5568.0,4869.0,0.0,5428.0,5568.0,1217.0
24,4211.0,3530.0,3603.0,2258.0,3564.0,2258.0,3512.0,3624.0,6170.0,3078.0,4171.0,5311.0,5177.0,2566.0,2776.0,4171.0,4319.0,2258.0,4636.0,2689.0,2298.0,2258.0,4319.0,5173.0,0.0,2258.0,5497.0
25,5150.0,1270.0,1378.0,0.0,1340.0,0.0,1251.0,1400.0,3919.0,817.0,1910.0,3059.0,4131.0,305.0,524.0,1910.0,2067.0,0.0,4385.0,428.0,843.0,0.0,2067.0,4128.0,2658.0,0.0,3245.0
26,7726.0,6467.0,1205.0,6891.0,1296.0,6891.0,8607.0,1221.0,2700.0,8078.0,6622.0,4597.0,1434.0,7918.0,7409.0,6622.0,3652.0,6891.0,1687.0,7783.0,6856.0,6891.0,3652.0,1430.0,6751.0,6891.0,0.0
