,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.0,9781.0,1435.0,4243.0,1397.0,4243.0,4343.0,1457.0,3993.0,9328.0,10421.0,3133.0,4205.0,4266.0,598.0,10421.0,2141.0,4243.0,4459.0,4216.0,5089.0,4243.0,2141.0,4202.0,9169.0,4243.0,3319.0
1,6415.0,0.0,2651.0,1270.0,2612.0,1270.0,884.0,2672.0,5193.0,453.0,640.0,4334.0,5406.0,1314.0,1799.0,640.0,3341.0,1270.0,5659.0,1179.0,2115.0,1270.0,3341.0,5402.0,3917.0,1270.0,4519.0
2,10902.0,9016.0,0.0,3452.0,616.0,3452.0,3552.0,226.0,3228.0,8563.0,7733.0,2343.0,2384.0,3476.0,4007.0,7733.0,1376.0,3452.0,2637.0,3425.0,4298.0,3452.0,1376.0,2380.0,8404.0,3452.0,1497.0
3,5156.0,1270.0,1378.0,0.0,1340.0,0.0,1251.0,1400.0,3919.0,817.0,1910.0,3059.0,4131.0,305.0,524.0,1910.0,2067.0,0.0,4385.0,428.0,843.0,0.0,2067.0,4128.0,2658.0,0.0,3245.0
4,10353.0,8467.0,301.0,2903.0,0.0,2903.0,3003.0,75.0,2679.0,8014.0,9107.0,1794.0,2866.0,2927.0,3458.0,9107.0,827.0,2903.0,3119.0,2876.0,3749.0,2903.0,827.0,2862.0,7855.0,2903.0,1979.0
5,5156.0,1270.0,1378.0,0.0,1340.0,0.0,1251.0,1400.0,3919.0,817.0,1910.0,3059.0,4131.0,305.0,524.0,1910.0,2067.0,0.0,4385.0,428.0,843.0,0.0,2067.0,4128.0,2658.0,0.0,3245.0
6,6397.0,884.0,2632.0,1251.0,2594.0,1251.0,0.0,2654.0,5175.0,943.0,1524.0,4315.0,5387.0,1021.0,1780.0,1524.0,3323.0,1251.0,5641.0,819.0,2097.0,1251.0,3323.0,5384.0,3899.0,1251.0,4501.0
7,10361.0,8475.0,226.0,2911.0,75.0,2911.0,3011.0,0.0,2687.0,8022.0,9115.0,1802.0,2400.0,2934.0,3465.0,9115.0,835.0,2911.0,2654.0,2884.0,3757.0,2911.0,835.0,2396.0,7863.0,2911.0,1514.0
8,9546.0,7660.0,4346.0,7003.0,4437.0,7003.0,7735.0,4362.0,0.0,7207.0,8300.0,3300.0,4061.0,7047.0,7531.0,8300.0,4156.0,7003.0,4314.0,6912.0,7586.0,7003.0,4156.0,4057.0,7048.0,7003.0,3141.0
9,5962.0,453.0,2198.0,817.0,2159.0,817.0,1550.0,2220.0,4740.0,0.0,1093.0,3881.0,4953.0,861.0,1346.0,1093.0,2889.0,817.0,5206.0,727.0,1662.0,817.0,2889.0,4949.0,3464.0,817.0,4067.0
