,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,6782.0,1542.0,6782.0,3049.0,2158.0,1232.0,2142.0,2868.0,10459.0,3368.0,1482.0,2155.0,2626.0,3098.0
1,6209.0,0.0,7588.0,0.0,8444.0,7553.0,7277.0,7632.0,8358.0,14625.0,8763.0,7528.0,6241.0,8021.0,8859.0
2,1526.0,8032.0,0.0,8032.0,1793.0,902.0,381.0,960.0,1686.0,9276.0,2111.0,300.0,1012.0,1370.0,1916.0
3,6209.0,0.0,7588.0,0.0,8444.0,7553.0,7277.0,7632.0,8358.0,14625.0,8763.0,7528.0,6241.0,8021.0,8859.0
4,3027.0,8747.0,1871.0,8747.0,0.0,1511.0,1736.0,1678.0,2404.0,8612.0,798.0,1801.0,2496.0,767.0,330.0
5,2456.0,8476.0,1264.0,8476.0,891.0,0.0,1121.0,1412.0,2138.0,9461.0,1209.0,1632.0,1889.0,468.0,1306.0
6,1344.0,7975.0,301.0,7975.0,1938.0,1048.0,0.0,1089.0,1816.0,9406.0,2257.0,430.0,777.0,1515.0,2046.0
7,2229.0,7792.0,1104.0,7792.0,1594.0,704.0,940.0,0.0,726.0,10165.0,1913.0,1035.0,1717.0,1171.0,2010.0
8,2955.0,8518.0,1830.0,8518.0,2321.0,1430.0,1667.0,726.0,0.0,10891.0,1523.0,1761.0,2443.0,1897.0,2736.0
9,13296.0,14102.0,11796.0,14102.0,11323.0,12237.0,12005.0,12680.0,13406.0,0.0,11799.0,12070.0,12670.0,11757.0,10849.0
10,3329.0,8919.0,2173.0,8919.0,711.0,1682.0,2038.0,1850.0,1523.0,9281.0,0.0,2103.0,2798.0,938.0,1126.0
11,1721.0,7732.0,886.0,7732.0,1474.0,584.0,576.0,660.0,1386.0,9437.0,1793.0,0.0,1162.0,1051.0,1890.0
12,1848.0,6325.0,918.0,6325.0,2693.0,1802.0,1082.0,1878.0,2604.0,8881.0,3012.0,1218.0,0.0,2270.0,2825.0
13,2773.0,8624.0,1616.0,8624.0,423.0,1126.0,1482.0,1554.0,2281.0,8994.0,742.0,1547.0,2242.0,0.0,838.0
14,3191.0,8956.0,2035.0,8956.0,330.0,2132.0,1900.0,1887.0,2613.0,8270.0,1007.0,1965.0,2661.0,976.0,0.0
