,0,1,2,3,4,5,6,7,8,9,10
0,0.0,1697.0,3309.0,3104.0,2836.0,1963.0,4295.0,1016.0,1356.0,1146.0,4725.0
1,453.0,0.0,2855.0,2649.0,2183.0,1508.0,4165.0,561.0,1138.0,691.0,4595.0
2,3096.0,2643.0,0.0,205.0,1761.0,1318.0,1540.0,3040.0,2909.0,2185.0,2251.0
3,2891.0,2438.0,205.0,0.0,1556.0,1113.0,1469.0,2834.0,2704.0,2114.0,2180.0
4,2250.0,1797.0,1386.0,1181.0,0.0,1370.0,2452.0,2193.0,1650.0,1865.0,3164.0
5,1733.0,1280.0,1503.0,1113.0,1699.0,0.0,2569.0,1966.0,1546.0,1467.0,3281.0
6,3849.0,3481.0,1330.0,1259.0,2599.0,2381.0,0.0,3877.0,3746.0,3063.0,977.0
7,1364.0,744.0,2293.0,2088.0,1820.0,947.0,3359.0,0.0,1010.0,757.0,4071.0
8,1363.0,988.0,2898.0,2693.0,1559.0,1565.0,3964.0,1504.0,0.0,1363.0,4676.0
9,760.0,1213.0,2185.0,2114.0,2301.0,1467.0,3251.0,481.0,1492.0,0.0,3963.0
10,4339.0,4408.0,2257.0,2186.0,3526.0,3308.0,927.0,4707.0,4673.0,3990.0,0.0
